stock_code,ROE_AVG,ROA2,CATOASSETS,ASSETSTOEQUITY,CURRENT,report_date
000001.SZ,10.2436,,,11.8289,,2023-12-31
000002.SZ,4.9294,1.9955,76.4368,3.7347,1.3997,2023-12-31
000004.SZ,-57.2888,-35.8637,78.4352,2.1326,1.663,2023-12-31
000005.SZ,-17.9094,-8.1847,56.6478,2.1801,1.6617,2023-12-31
000006.SZ,-10.7927,-1.3205,84.0593,3.4829,1.735,2023-12-31
000007.SZ,33.2621,10.0786,70.028,2.8852,2.16,2023-12-31
000008.SZ,-20.8947,-6.1376,45.7311,2.9158,0.7586,2023-12-31
000009.SZ,7.9352,5.2044,57.7622,2.3831,1.841,2023-12-31
000010.SZ,-106.0665,-16.8823,72.9888,12.5875,0.8061,2023-12-31
000011.SZ,10.2269,4.535,88.9731,3.6116,1.4617,2023-12-31
000012.SZ,12.3068,6.3546,31.0979,2.0886,1.0518,2023-12-31
000014.SZ,36.9255,24.8867,87.0642,1.4686,2.7961,2023-12-31
000016.SZ,-32.5754,-5.7414,45.1501,6.0652,0.8769,2023-12-31
000017.SZ,5.9784,4.8387,97.4534,1.1948,6.0796,2023-12-31
000019.SZ,7.2559,6.2046,56.082,1.5168,1.7497,2023-12-31
000020.SZ,3.7036,3.211,57.3576,1.555,1.628,2023-12-31
000021.SZ,6.058,3.5691,57.3847,2.1424,1.2414,2023-12-31
000023.SZ,-264.7169,-13.4752,75.7856,18.2093,0.8723,2023-12-31
000025.SZ,7.6059,6.8288,38.1003,1.3886,1.6681,2023-12-31
000026.SZ,10.2988,10.6738,73.3364,1.2611,3.7566,2023-12-31
000027.SZ,4.404,3.757,23.173,2.7488,1.028,2023-12-31
000028.SZ,9.5362,5.8635,76.4541,2.2677,1.4944,2023-12-31
000029.SZ,-6.5193,-7.1326,90.5355,1.7174,2.3238,2023-12-31
000030.SZ,7.9795,4.4214,49.7711,1.9287,1.2095,2023-12-31
000031.SZ,-10.0215,2.5431,73.1975,4.2968,1.5136,2023-12-31
000032.SZ,5.4673,2.986,79.5542,4.7595,1.2262,2023-12-31
000034.SZ,14.5031,4.6015,80.1659,4.8473,1.2129,2023-12-31
000035.SZ,3.2212,2.7319,19.0869,2.5942,0.6689,2023-12-31
000036.SZ,1.5341,1.0116,76.5731,1.3535,3.9787,2023-12-31
000037.SZ,0.2854,0.3882,49.7412,1.4735,2.4694,2023-12-31
000039.SZ,0.8733,2.8928,54.6725,2.5029,1.1197,2023-12-31
000040.SZ,-1.5733,-0.2291,47.3014,2.1448,1.2772,2023-12-31
000042.SZ,-26.658,-3.2629,82.4542,5.5495,1.7574,2023-12-31
000045.SZ,2.7661,2.8568,53.2414,1.374,3.4029,2023-12-31
000046.SZ,,-16.0928,68.2927,,0.5872,2023-12-31
000048.SZ,53.9351,17.332,34.9096,3.1041,0.6432,2023-12-31
000049.SZ,10.8255,4.1741,67.717,2.5873,1.6248,2023-12-31
000050.SZ,-7.2301,-1.3108,26.5155,2.8274,1.0541,2023-12-31
000055.SZ,4.6585,2.8775,47.7696,2.2165,1.1409,2023-12-31
000056.SZ,-72.8321,-5.0701,11.0575,9.0476,0.1696,2023-12-31
000058.SZ,4.5984,3.9959,62.8439,2.148,1.5756,2023-12-31
000059.SZ,0.4897,1.1088,60.1199,2.1293,2.8141,2023-12-31
000060.SZ,4.9,4.4621,36.9853,2.5138,1.3732,2023-12-31
000061.SZ,7.5739,4.5292,17.4328,2.689,0.4279,2023-12-31
000062.SZ,6.583,5.2736,71.4561,2.2125,1.5017,2023-12-31
000063.SZ,14.7269,4.8494,78.8743,2.9409,1.909,2023-12-31
000065.SZ,11.32,5.0097,59.7222,2.5562,1.4933,2023-12-31
000066.SZ,-7.4178,-1.9842,59.9737,2.4595,1.9486,2023-12-31
000068.SZ,175.5407,17.2447,39.9948,4.0074,0.8488,2023-12-31
000069.SZ,-9.9262,-0.7566,74.7409,4.3126,1.6134,2023-12-31
000070.SZ,-14.7171,-1.3191,63.8143,3.2497,1.3239,2023-12-31
000078.SZ,-43.9296,-1.6375,89.1803,7.6598,1.039,2023-12-31
000088.SZ,9.7304,6.6319,18.38,1.4919,1.455,2023-12-31
000089.SZ,3.6396,3.6493,13.1744,2.174,1.0817,2023-12-31
000090.SZ,10.7246,3.1968,83.8658,4.5996,1.2802,2023-12-31
000096.SZ,3.3337,3.0838,43.7035,1.0691,11.4475,2023-12-31
000099.SZ,4.7722,5.2037,44.0599,1.2046,4.8115,2023-12-31
000100.SZ,4.2759,2.4323,26.7196,2.6356,1.031,2023-12-31
000151.SZ,-36.2764,-10.6859,80.0974,3.8796,1.1184,2023-12-31
000153.SZ,8.8054,5.419,43.3335,2.2885,0.945,2023-12-31
000155.SZ,12.5061,7.8915,32.9854,2.1654,1.5847,2023-12-31
000156.SZ,4.6918,2.7535,41.1931,1.9253,1.1292,2023-12-31
000157.SZ,6.3087,3.1485,59.5826,2.2117,1.5595,2023-12-31
000158.SZ,-1.6301,0.4982,65.8328,2.9665,1.1355,2023-12-31
000159.SZ,3.2538,3.5332,54.0899,1.5211,1.8064,2023-12-31
000166.SZ,4.7199,,,4.9337,1.38,2023-12-31
000301.SZ,2.0155,2.0948,17.2377,5.3593,0.4311,2023-12-31
000333.SZ,22.0526,7.9538,57.8804,2.7885,1.1197,2023-12-31
000338.SZ,11.82,4.36,59.2152,2.9662,1.3537,2023-12-31
000400.SZ,9.6739,5.7452,81.4009,1.8731,1.8088,2023-12-31
000401.SZ,-5.0437,-2.1212,23.3663,1.9585,0.901,2023-12-31
000402.SZ,-5.2678,-0.5689,64.9228,3.5904,3.1781,2023-12-31
000403.SZ,8.5633,7.5852,39.6974,1.1628,3.7151,2023-12-31
000404.SZ,9.7647,4.0111,75.6049,2.6768,1.3114,2023-12-31
000407.SZ,5.4672,5.3593,26.8606,2.1384,0.621,2023-12-31
000408.SZ,27.1619,27.8107,22.311,1.0798,3.3603,2023-12-31
000409.SZ,4.3503,4.7655,77.6877,1.5042,2.4507,2023-12-31
000410.SZ,3.3819,1.7318,55.4661,3.2093,1.1229,2023-12-31
000411.SZ,15.4243,7.0513,87.3442,2.9091,1.4563,2023-12-31
000413.SZ,-7.3554,-2.6969,53.7406,2.6232,0.9025,2023-12-31
000415.SZ,4.4698,4.4288,5.9106,5.734,0.3074,2023-12-31
000416.SZ,-16.3877,-13.776,74.6088,1.1335,6.7318,2023-12-31
000417.SZ,5.9388,3.5799,46.266,2.3537,1.0216,2023-12-31
000419.SZ,4.1603,3.8506,45.4243,1.5399,2.0983,2023-12-31
000420.SZ,0.7405,2.343,22.6683,2.4494,0.5054,2023-12-31
000421.SZ,-3.2307,0.0097,61.772,4.0913,1.0022,2023-12-31
000422.SZ,8.033,5.569,26.3086,2.4788,0.6007,2023-12-31
000423.SZ,10.9356,9.7921,79.1872,1.2389,4.378,2023-12-31
000425.SZ,9.7377,3.9731,68.5578,2.8179,1.2859,2023-12-31
000426.SZ,16.1195,11.6394,8.3353,1.6829,0.3128,2023-12-31
000428.SZ,-7.1937,-0.2386,22.4955,3.9436,0.3578,2023-12-31
000429.SZ,17.2676,14.8773,23.1955,1.7221,3.2249,2023-12-31
000430.SZ,-24.2127,-4.7585,4.4661,3.092,0.1977,2023-12-31
000488.SZ,-7.1627,-0.0029,35.9378,3.7675,0.5739,2023-12-31
000498.SZ,11.9198,3.7045,72.24,4.2707,1.136,2023-12-31
000501.SZ,1.9138,2.1488,18.4692,2.8823,0.4272,2023-12-31
000503.SZ,-7.4865,-4.8374,81.4841,1.373,3.0074,2023-12-31
000504.SZ,-20.8137,-5.4341,84.8932,2.5318,1.4475,2023-12-31
000505.SZ,3.2861,2.9239,68.6523,1.8171,2.1927,2023-12-31
000506.SZ,1.0141,1.8288,9.9888,1.768,0.2529,2023-12-31
000507.SZ,4.2232,4.3,29.2938,2.1729,1.042,2023-12-31
000509.SZ,8.902,4.8052,72.9383,3.3158,1.072,2023-12-31
000510.SZ,-13.0678,-6.1816,32.4647,1.9481,0.814,2023-12-31
000513.SZ,13.9954,8.4817,68.9411,1.696,2.135,2023-12-31
000514.SZ,2.8543,2.2114,76.0766,1.8586,2.1009,2023-12-31
000516.SZ,-9.0299,-2.0966,16.8967,2.9667,0.4648,2023-12-31
000517.SZ,4.028,1.601,94.8871,5.0021,1.2875,2023-12-31
000518.SZ,-14.4896,-11.0086,77.0649,1.289,4.3113,2023-12-31
000519.SZ,8.1686,5.3413,67.8245,1.4833,2.4581,2023-12-31
000520.SZ,-1.5851,-0.8679,31.8339,1.3636,1.5136,2023-12-31
000521.SZ,13.4819,3.6392,75.6418,3.1307,1.1418,2023-12-31
000523.SZ,6.3183,2.8735,52.3049,2.0628,3.9538,2023-12-31
000524.SZ,3.3203,2.461,50.0437,1.5692,1.5555,2023-12-31
000525.SZ,-36.1951,-1.9486,47.5876,9.8875,0.6556,2023-12-31
000526.SZ,29.5785,7.9718,28.9844,5.3448,0.4726,2023-12-31
000528.SZ,5.3769,2.9412,71.4384,2.5882,1.4939,2023-12-31
000529.SZ,6.9209,3.2979,58.439,2.209,1.6453,2023-12-31
000530.SZ,1.6313,1.1743,64.6902,2.6297,1.263,2023-12-31
000531.SZ,5.0867,3.4907,20.1402,2.7397,0.7842,2023-12-31
000532.SZ,5.5884,4.8064,16.2613,1.6227,0.545,2023-12-31
000533.SZ,8.651,4.7433,74.9512,2.8959,1.3148,2023-12-31
000534.SZ,14.6889,9.5759,28.5332,2.3917,1.0952,2023-12-31
000536.SZ,-49.6,-17.2781,20.7626,3.0007,0.4228,2023-12-31
000537.SZ,5.4786,3.0347,22.6141,3.4235,0.8451,2023-12-31
000538.SZ,10.4456,8.4998,67.5208,1.3478,2.851,2023-12-31
000539.SZ,4.5992,3.2025,19.8076,4.7538,0.6817,2023-12-31
000541.SZ,5.068,2.3724,56.2647,1.7331,1.4347,2023-12-31
000543.SZ,10.8098,4.9883,13.2447,2.9726,0.5355,2023-12-31
000544.SZ,12.1254,5.5325,18.7415,4.3827,0.8654,2023-12-31
000545.SZ,-10.2252,-5.5344,33.7224,1.797,0.7711,2023-12-31
000546.SZ,-14.9859,-10.4715,37.3522,1.5819,1.4956,2023-12-31
000547.SZ,-24.5016,-16.7871,55.669,1.6333,1.5903,2023-12-31
000548.SZ,7.7032,6.9664,66.9776,1.4994,2.6152,2023-12-31
000550.SZ,15.0618,2.0807,66.4974,2.9185,1.0508,2023-12-31
000551.SZ,6.7008,4.7485,65.3239,1.8515,1.5347,2023-12-31
000552.SZ,12.0249,7.6594,37.3007,1.8751,1.6161,2023-12-31
000553.SZ,-7.1295,-1.1102,53.4638,2.5271,1.5678,2023-12-31
000554.SZ,3.6929,3.3343,43.9647,1.8704,1.1569,2023-12-31
000555.SZ,3.3806,1.8712,79.5041,2.0225,1.5982,2023-12-31
000557.SZ,4.236,3.9595,38.6501,1.0721,6.4478,2023-12-31
000558.SZ,5.1807,3.8586,17.9014,1.5709,1.0492,2023-12-31
000559.SZ,9.3588,4.9301,59.4379,2.3083,1.1647,2023-12-31
000560.SZ,-8.5822,-0.7516,36.4494,3.3879,0.7122,2023-12-31
000561.SZ,2.8311,1.8358,77.893,2.1187,1.6472,2023-12-31
000563.SZ,6.5001,,,1.4064,,2023-12-31
000564.SZ,-22.3757,-8.345,15.8125,2.4123,0.8188,2023-12-31
000565.SZ,-2.742,-2.2156,35.5953,1.2413,2.7911,2023-12-31
000566.SZ,-5.0382,0.505,33.8863,3.3479,0.6703,2023-12-31
000567.SZ,16.5722,13.3926,38.7472,1.7231,2.1642,2023-12-31
000568.SZ,35.0437,30.3976,71.6625,1.524,4.5039,2023-12-31
000570.SZ,3.2466,2.7971,56.1403,1.4868,1.9509,2023-12-31
000571.SZ,-29.7764,3.0294,29.0386,2.5759,0.6907,2023-12-31
000572.SZ,-10.1072,-2.6911,57.2039,2.6523,0.954,2023-12-31
000573.SZ,3.9745,2.9971,58.1121,1.4061,3.0106,2023-12-31
000576.SZ,-13.8552,-12.6735,46.356,1.1281,7.0053,2023-12-31
000581.SZ,9.9055,7.0275,48.8615,1.3917,1.9209,2023-12-31
000582.SZ,8.5035,5.8047,10.5783,2.107,0.5332,2023-12-31
000584.SZ,-50.8611,-9.0247,65.8455,7.4795,0.8579,2023-12-31
000586.SZ,6.1683,3.9867,85.1752,1.696,2.1552,2023-12-31
000589.SZ,12.3004,5.8812,47.4938,2.474,1.0206,2023-12-31
000590.SZ,3.5504,2.7527,46.8719,1.5808,2.1689,2023-12-31
000591.SZ,7.0503,5.4038,34.152,2.0525,2.0244,2023-12-31
000592.SZ,-13.906,-3.4572,80.9298,1.9246,1.717,2023-12-31
000593.SZ,-24.7625,-8.5981,30.4538,2.2324,0.7753,2023-12-31
000595.SZ,-28.6161,-13.3772,50.6237,2.0197,1.5115,2023-12-31
000596.SZ,22.9194,18.9114,72.0142,1.5803,2.0557,2023-12-31
000597.SZ,7.5089,2.8227,64.0519,2.9607,1.0224,2023-12-31
000598.SZ,11.7335,5.9865,17.7311,2.4479,0.7769,2023-12-31
000599.SZ,-7.7805,-0.4228,41.0097,4.6942,0.671,2023-12-31
000600.SZ,1.7007,2.3441,17.934,3.0753,0.7391,2023-12-31
000601.SZ,-6.0273,-0.2732,25.797,2.8347,0.9585,2023-12-31
000603.SZ,4.8498,5.4288,27.149,1.6758,0.964,2023-12-31
000605.SZ,0.9541,1.9806,29.6368,3.0155,0.7465,2023-12-31
000607.SZ,5.5012,2.961,42.7389,2.0622,0.9974,2023-12-31
000608.SZ,-9.1744,-4.3908,2.7304,1.4856,0.1802,2023-12-31
000609.SZ,-38.3236,-3.5685,93.0532,5.8046,1.2687,2023-12-31
000610.SZ,-26.8202,-6.2352,32.8914,4.7034,0.7415,2023-12-31
000612.SZ,10.6885,9.1475,31.978,1.3614,1.347,2023-12-31
000615.SZ,,-9.4135,16.0498,8.5875,0.5673,2023-12-31
000617.SZ,5.0341,1.2869,64.9083,5.8128,0.8048,2023-12-31
000619.SZ,-0.8423,1.1068,56.2607,1.9931,1.3205,2023-12-31
000620.SZ,15.1834,9.7758,66.895,2.4695,1.3933,2023-12-31
000622.SZ,-6.0878,-3.5391,56.6006,2.0854,1.5179,2023-12-31
000623.SZ,5.4833,5.0808,17.8052,1.1733,1.2859,2023-12-31
000625.SZ,16.8174,5.6407,68.8511,2.5464,1.2683,2023-12-31
000626.SZ,-13.339,-2.1576,73.5368,2.4764,1.5276,2023-12-31
000627.SZ,-3.1035,,,8.9771,,2023-12-31
000628.SZ,18.969,4.6034,85.3377,6.247,1.1904,2023-12-31
000629.SZ,10.1116,8.4864,42.473,1.2232,3.0131,2023-12-31
000630.SZ,9.441,8.9119,52.7066,1.981,1.7167,2023-12-31
000631.SZ,5.5066,5.1983,87.7138,1.1421,7.0527,2023-12-31
000632.SZ,-21.3954,-1.3096,60.9667,4.8149,1.0266,2023-12-31
000633.SZ,3.3019,3.7087,54.6358,1.308,5.6919,2023-12-31
000635.SZ,-34.5054,-22.5751,13.898,1.6745,0.4709,2023-12-31
000636.SZ,1.4576,0.3271,44.6223,1.289,2.586,2023-12-31
000637.SZ,-15.8995,-2.7862,26.7739,2.8594,0.516,2023-12-31
000638.SZ,-3.0093,-0.5451,35.6241,2.1834,0.7325,2023-12-31
000639.SZ,-0.5063,0.4835,43.6571,1.8286,1.1607,2023-12-31
